"","Player","Team","Position","GP","TOI","Goals","Assists","FirstAssists","SecondAssists","Points","IPP","Shots","SH","ixG","iCF","iFF","iSCF","iHDCF","Rush","Rebounds","PIM","Penalties","Minor","Major","Misconduct","PenaltiesDrawn","Giveaways","Takeaways","Hits","HitsTaken","Blocked","FaceoffsWon","FaceoffsLost","Faceoffs"
"436","Connor McDavid","EDM","C","72","1638.6166666667","60","78","53","25","138","82.14","314","19.11","39.79","471","394","337","144","15","30","30","15","15","0","0","42","73","69","78","102","38","454","430","51.36"
"365","Leon Draisaitl","EDM","C","70","1543.4666666667","44","66","52","14","110","69.62","218","20.18","27.73","369","305","226","87","6","33","22","11","11","0","0","21","87","68","54","123","36","697","580","54.58"
"206","Nikita Kucherov","T.B","R","74","1497.95","28","74","45","29","102","77.86","246","11.38","27","499","363","296","104","58","47","32","16","16","0","0","35","84","51","55","99","27","1","0","100.00"
"515","Matthew Tkachuk","FLA","L","70","1435.5333333333","35","62","34","28","97","70.29","283","12.37","40.36","473","373","317","178","15","61","92","31","26","2","3","33","55","33","51","61","29","13","15","46.43"
"382","David Pastrnak","BOS","R","72","1416.5833333333","49","46","26","20","95","77.24","343","14.29","34.66","634","459","323","99","18","44","32","15","15","0","0","28","99","46","81","119","30","6","9","40.00"
"332","Nathan MacKinnon","COL","C","60","1335.8166666667","31","62","36","26","93","75.61","310","10.00","26.69","526","402","279","79","14","31","30","15","15","0","0","27","34","37","47","60","32","445","556","44.46"
"475","Mitchell Marner","TOR","R","72","1534.15","28","65","36","29","93","76.23","175","16.00","17.48","361","235","176","51","10","29","24","12","12","0","0","17","82","96","50","105","42","0","4","0.00"
"630","Elias Pettersson","VAN","C","70","1432.2666666667","33","58","34","24","91","74.59","226","14.60","26.75","436","333","248","91","8","32","10","5","5","0","0","32","43","54","57","77","78","380","491","43.63"
"637","Jason Robertson","DAL","L","73","1382.4833333333","41","50","34","16","91","74.59","280","14.64","29.99","512","372","283","100","6","51","20","10","10","0","0","8","59","57","50","74","15","0","1","0.00"
"75","Erik Karlsson","S.J","D","73","1880.25","22","68","40","28","90","67.16","195","11.28","11.87","465","267","191","30","58","42","32","12","11","0","1","13","90","71","31","92","75","0","1","0.00"
"569","Tage Thompson","BUF","C, R","72","1344.6666666667","44","45","26","19","89","73.55","269","16.36","27.84","498","373","278","113","15","37","35","16","15","1","0","21","37","40","49","82","24","342","449","43.24"
"207","Ryan Nugent0Hopkins","EDM","C","72","1433.4166666667","33","55","24","31","88","60.69","178","18.54","24.99","289","234","206","88","8","20","33","14","13","1","0","10","29","48","41","60","25","297","361","45.14"
"794","Jack Hughes","N.J","C","69","1384.1833333333","40","46","28","18","86","78.18","310","12.90","33.69","499","381","307","104","44","36","4","2","2","0","0","21","77","55","11","100","24","136","257","34.61"
"17","Sidney Crosby","PIT","C","72","1444.1","31","54","32","22","85","75.89","219","14.16","28.16","384","298","236","125","21","41","50","17","15","0","2","21","55","52","68","76","38","851","743","53.39"
"445","Mikko Rantanen","COL","R","71","1580.7666666667","47","38","29","9","85","65.89","261","18.01","28.92","465","361","252","95","12","31","64","28","27","0","1","26","38","52","73","119","38","183","205","47.16"
"395","Brayden Point","T.B","C","74","1458.9166666667","45","38","18","20","83","63.85","211","21.33","31.8","351","286","307","176","34","31","7","2","1","1","0","16","40","47","31","89","34","393","375","51.17"
"488","Artemi Panarin","NYR","L","73","1442.7166666667","24","58","33","25","82","75.93","178","13.48","18.05","382","270","191","41","9","29","30","15","15","0","0","14","96","30","24","41","10","3","10","23.08"
"368","William Nylander","TOR","R","72","1338.9166666667","36","45","27","18","81","68.07","251","14.34","29.98","442","347","274","120","18","29","24","12","12","0","0","14","33","60","15","86","25","25","34","42.37"
"842","Tim Stützle","OTT","L","69","1449.0666666667","35","46","28","18","81","72.32","199","17.59","25.67","374","276","240","99","12","28","46","23","23","0","0","29","54","54","101","129","46","179","262","40.59"
"211","Mika Zibanejad","NYR","C","73","1475.3833333333","37","42","25","17","79","76.70","233","15.88","27.8","407","342","213","82","14","24","18","9","9","0","0","21","59","46","64","66","43","613","636","49.08"
"533","Clayton Keller","ARI","R","73","1504.6666666667","35","44","33","11","79","78.22","190","18.42","20.23","326","260","191","63","9","25","41","15","13","1","1","22","50","49","15","63","30","21","39","35.00"
"159","Zach Hyman","EDM","L","69","1417.2","30","45","25","20","75","51.02","248","12.10","40.1","389","331","330","211","10","40","37","17","16","1","0","23","30","31","66","144","18","6","6","50.00"
"432","Kyle Connor","WPG","L","74","1524.4166666667","28","47","30","17","75","69.44","251","11.16","27.74","452","345","293","113","14","38","18","9","9","0","0","9","37","38","41","65","21","2","5","28.57"
"518","Auston Matthews","TOR","C","65","1309.95","36","39","27","12","75","60.00","285","12.63","33.97","497","398","349","144","6","45","20","10","10","0","0","25","49","59","72","87","84","492","449","52.28"
"704","Brady Tkachuk","OTT","L","73","1357.1333333333","33","42","26","16","75","64.66","307","10.75","45.34","496","430","346","219","17","49","107","35","26","7","2","36","46","29","214","83","9","324","356","47.65"
"11","Evgeni Malkin","PIT","C","72","1340.85","24","50","33","17","74","77.89","206","11.65","22.83","360","268","233","86","14","34","50","25","25","0","0","25","97","72","48","86","30","387","383","50.26"
"69","Steven Stamkos","T.B","C","73","1390.95","30","44","26","18","74","61.67","222","13.51","28.32","414","316","266","94","39","35","40","20","20","0","0","14","51","24","82","80","45","444","378","54.01"
"499","Kirill Kaprizov","MIN","L","65","1371.9","39","35","26","9","74","76.29","250","15.60","31.65","478","353","290","113","7","33","35","16","15","1","0","28","52","48","65","101","28","2","3","40.00"
"101","John Tavares","TOR","C","71","1252.4333333333","30","42","25","17","72","72.00","247","12.15","38.77","414","352","326","194","6","47","32","16","16","0","0","7","52","42","104","103","32","653","470","58.15"
"216","J.T. Miller","VAN","C","71","1467.2333333333","29","43","32","11","72","71.29","196","14.80","21.3","361","278","205","78","8","30","55","23","20","3","0","22","44","49","164","60","45","372","318","53.91"
"10","Alex Ovechkin","WSH","L","67","1353.5666666667","41","30","17","13","71","68.27","281","14.59","33.23","546","395","258","89","11","51","34","16","16","0","0","9","45","26","162","31","22","4","4","50.00"
"44","Jamie Benn","DAL","L","73","1157.0833333333","31","40","20","20","71","63.96","175","17.71","24.4","300","232","192","97","7","28","30","12","10","2","0","18","44","49","85","57","33","470","315","59.87"
"37","Claude Giroux","OTT","R","73","1356.1333333333","28","42","26","16","70","73.68","188","14.89","18.4","313","256","172","78","18","18","30","15","15","0","0","19","31","46","67","46","26","621","444","58.31"
"158","Jeff Skinner","BUF","L","69","1200.45","31","39","25","14","70","63.06","202","15.35","28.05","363","275","241","128","12","42","23","10","9","1","0","27","38","35","18","52","13","131","146","47.29"
"624","Nico Hischier","N.J","C","72","1393.25","30","40","27","13","70","61.40","233","12.88","32.18","371","305","260","144","31","38","8","4","4","0","0","26","33","56","28","107","58","796","686","53.71"
"343","Josh Morrissey","WPG","D","72","1744.2333333333","15","54","33","21","69","57.98","156","9.62","11.21","355","243","124","27","5","16","37","17","16","1","0","17","55","31","82","65","111","0","0","0"
"213","Dougie Hamilton","N.J","D","73","1606.9","19","49","26","23","68","54.40","247","7.69","12.52","502","334","188","30","44","41","46","23","23","0","0","6","65","17","57","69","80","0","0","0"
"371","Kevin Fiala","L.A","L","66","1162.2666666667","22","46","31","15","68","77.27","200","11.00","24.89","347","261","230","101","26","28","52","26","26","0","0","20","37","17","52","88","17","8","7","53.33"
"373","Dylan Larkin","DET","C","71","1392.5166666667","26","42","20","22","68","69.39","217","11.98","24.07","410","310","244","91","11","36","37","13","11","1","1","21","40","52","45","59","26","661","539","55.08"
"376","Alex Tuch","BUF","R","64","1218.9166666667","32","36","25","11","68","63.55","180","17.78","21.98","303","256","176","74","16","23","18","9","9","0","0","12","32","50","44","49","43","31","37","45.59"
"703","Quinn Hughes","VAN","D","68","1730.9666666667","5","63","31","32","68","53.54","134","3.73","6.81","315","188","86","11","5","17","26","13","13","0","0","15","40","50","20","81","64","0","0","0"
"8","Joe Pavelski","DAL","C","73","1300.3833333333","21","46","23","23","67","55.37","170","12.35","25.24","303","239","228","138","4","44","8","4","4","0","0","24","50","28","82","57","60","331","285","53.73"
"141","Tyler Toffoli","CGY","R","74","1223.95","31","36","18","18","67","69.07","236","13.14","24.8","423","324","220","79","11","29","26","11","11","0","0","13","30","34","57","52","12","6","5","54.55"
"148","Brock Nelson","NYI","C","74","1370.6","32","35","20","15","67","69.07","208","15.38","24.07","385","280","247","105","17","42","24","12","12","0","0","20","38","44","47","71","39","439","503","46.60"
"185","Johnny Gaudreau","CBJ","L","70","1363.4","18","49","29","20","67","74.44","184","9.78","21.98","339","259","194","61","12","29","22","11","11","0","0","20","45","43","5","24","17","0","0","0"
"459","Roope Hintz","DAL","C","65","1143.3166666667","33","34","21","13","67","61.47","165","20.00","24.98","283","223","208","112","11","19","30","15","15","0","0","14","35","24","42","74","41","232","216","51.79"
"644","Martin Necas","CAR","C","71","1312","27","40","30","10","67","69.07","214","12.62","21.75","388","309","215","77","11","29","30","15","15","0","0","25","56","37","47","97","20","170","202","45.70"
"19","Anze Kopitar","L.A","C","72","1466.5666666667","26","40","22","18","66","66.67","146","17.81","17.28","257","209","165","79","15","20","4","2","2","0","0","10","43","41","63","78","78","784","605","56.44"
"307","Carter Verhaeghe","FLA","C","72","1272.1166666667","36","30","13","17","66","72.53","247","14.57","28.26","421","317","253","102","9","41","42","21","21","0","0","26","50","32","28","93","29","18","19","48.65"
"333","Aleksander Barkov","FLA","C","59","1252.7166666667","20","46","29","17","66","67.35","186","10.75","19.17","310","245","193","79","6","30","6","3","3","0","0","9","33","51","42","76","41","646","524","55.21"
"557","Jordan Kyrou","STL","C","68","1239.2","31","35","23","12","66","76.74","235","13.19","20.56","407","312","244","58","15","13","14","7","7","0","0","11","48","47","10","81","32","5","7","41.67"
"565","Jesper Bratt","N.J","L","73","1275.7666666667","31","35","20","15","66","67.35","192","16.15","21.14","346","271","222","83","27","38","6","3","3","0","0","8","39","33","20","62","20","0","0","0"
"304","Jake Guentzel","PIT","L","68","1365.6833333333","31","34","26","8","65","63.11","219","14.16","34.42","404","311","299","163","8","36","40","19","19","0","0","30","41","35","74","133","38","8","8","50.00"
"522","Adam Fox","NYR","D","73","1795.9166666667","11","54","26","28","65","53.72","149","7.38","11.26","308","205","144","33","6","19","30","15","15","0","0","12","72","82","25","91","111","0","0","0"
"721","Rasmus Dahlin","BUF","D","68","1743.5","14","51","32","19","65","47.79","184","7.61","14.12","335","237","126","28","5","19","86","39","38","0","1","19","57","41","98","114","115","0","0","0"
"137","Mats Zuccarello","MIN","R","71","1438.45","22","42","28","14","64","64.65","183","12.02","17.73","347","254","181","67","11","30","24","12","12","0","0","18","40","40","46","63","50","21","34","38.18"
"340","Bo Horvat","NYI, VAN","C","71","1487.7","36","28","17","11","64","60.95","210","17.14","26.88","320","273","229","115","5","21","18","9","9","0","0","20","32","36","50","56","54","875","667","56.74"
"651","Cale Makar","COL","D","56","1488.6833333333","17","47","29","18","64","59.26","165","10.30","11.61","378","240","131","28","6","34","28","13","13","0","0","20","47","49","63","41","76","0","0","0"
"901","Andrei Kuzmenko","VAN","L","71","1151.0166666667","35","29","12","17","64","68.82","130","26.92","19.35","243","188","182","107","3","16","8","4","4","0","0","10","22","27","13","44","17","0","0","0"
"29","Brad Marchand","BOS","L","64","1183.1333333333","20","43","29","14","63","66.32","163","12.27","17.75","295","219","186","67","7","16","66","33","33","0","0","35","69","31","73","88","19","19","32","37.25"
"303","Pavel Buchnevich","STL","L","56","1091.4333333333","23","39","26","13","62","70.45","112","20.54","15.33","207","166","140","60","7","17","24","12","12","0","0","8","28","31","51","49","18","45","92","32.85"
"336","Elias Lindholm","CGY","C","72","1338.6333333333","21","41","25","16","62","68.89","158","13.29","22.33","294","228","183","77","5","27","14","7","7","0","0","14","30","37","84","58","44","781","601","56.51"
"642","Miro Heiskanen","DAL","D","70","1795.75","11","51","29","22","62","51.24","195","5.64","11.98","409","263","144","21","3","55","28","14","14","0","0","8","55","43","46","130","88","0","0","0"
"52","Logan Couture","S.J","C","73","1393.9","25","36","21","15","61","67.78","177","14.12","23.48","303","246","204","107","29","33","19","8","7","1","0","6","29","64","123","67","63","589","672","46.71"
"212","Mark Scheifele","WPG","C","74","1519.85","38","23","13","10","61","62.89","189","20.11","27.71","331","274","250","125","7","17","41","11","8","1","2","25","39","57","47","95","34","547","595","47.90"
"390","Brandon Montour","FLA","D","71","1713.7","13","48","21","27","61","46.56","214","6.07","14.43","405","303","141","36","8","32","99","28","22","1","5","20","44","30","87","66","81","0","0","0"
"448","Sebastian Aho","CAR","C","64","1248.5333333333","32","29","22","7","61","63.54","196","16.33","27.07","334","278","223","127","13","28","28","14","14","0","0","27","52","52","51","74","19","474","444","51.63"
"633","Nick Suzuki","MTL","C","73","1552.5333333333","23","38","25","13","61","63.54","142","16.20","15.79","262","194","143","63","12","27","31","10","8","1","1","23","43","37","44","68","49","592","662","47.21"
"781","Dylan Cozens","BUF","C","71","1158.4166666667","28","33","17","16","61","67.03","186","15.05","23.93","302","246","214","92","16","33","41","19","18","1","0","24","17","33","54","80","28","497","530","48.39"
"438","Vince Dunn","SEA","D","72","1711.85","13","47","23","24","60","46.51","132","9.85","8.88","287","193","90","10","2","19","47","21","20","1","0","17","49","43","106","91","73","0","0","0"
"635","Robert Thomas","STL","C","67","1297.7","16","44","27","17","60","60.61","98","16.33","12.05","163","135","115","50","4","7","22","11","11","0","0","13","39","61","15","62","27","589","510","53.59"
"78","Roman Josi","NSH","D","67","1686.2","18","41","21","20","59","57.84","269","6.69","16.82","542","357","197","41","6","47","36","18","18","0","0","16","29","24","51","108","146","0","0","0"
"381","Jared McCann","SEA","L","69","1111.3833333333","35","24","14","10","59","68.60","173","20.23","15.32","334","241","155","48","9","25","12","6","6","0","0","18","24","50","54","69","20","24","48","33.33"
"530","Alex DeBrincat","OTT","R","73","1396.2","23","36","28","8","59","62.77","238","9.66","25.39","423","310","261","81","9","45","28","10","9","0","1","22","36","44","105","75","30","9","7","56.25"
"585","Brandon Hagel","T.B","L","74","1396.7833333333","27","32","17","15","59","63.44","159","16.98","25.59","275","224","213","112","35","15","50","21","20","0","1","28","42","85","61","179","54","23","57","28.75"
"442","Timo Meier","N.J, S.J","R","69","1355.4833333333","35","23","15","8","58","64.44","303","11.55","33.08","538","419","327","138","45","55","37","17","16","1","0","24","56","56","139","110","34","21","34","38.18"
"563","Pierre0Luc Dubois","WPG","L","66","1214.8833333333","25","33","17","16","58","65.91","186","13.44","28.26","342","283","240","135","10","30","71","34","33","1","0","37","44","35","64","109","40","454","473","48.98"
"783","Trevor Zegras","ANA","C","72","1374","22","36","21","15","58","69.05","169","13.02","14.53","336","233","178","48","6","21","70","27","25","0","2","24","66","28","38","85","27","215","302","41.59"
"7","Patrice Bergeron","BOS","C","72","1266.3666666667","27","30","16","14","57","54.29","232","11.64","28.87","404","314","279","125","12","28","22","10","10","0","0","12","20","36","59","65","52","962","626","60.58"
"188","Vincent Trocheck","NYR","C","73","1436.2333333333","19","38","23","15","57","61.29","206","9.22","27.56","378","305","263","129","8","32","49","23","22","1","0","17","57","50","169","98","41","648","506","56.15"
"247","Tomas Hertl","S.J","C","70","1361.0666666667","20","37","15","22","57","63.33","165","12.12","25.6","308","231","224","127","20","29","34","17","17","0","0","12","36","41","86","70","52","697","580","54.58"
"670","Drake Batherson","OTT","R","73","1355.1666666667","21","36","23","13","57","62.64","223","9.42","30.5","396","324","264","120","18","38","28","14","14","0","0","15","36","35","110","92","33","12","23","34.29"
"103","Matt Duchene","NSH","C","70","1291.3666666667","22","34","18","16","56","62.92","167","13.17","19.06","318","238","193","70","14","24","32","11","10","0","1","12","60","35","27","62","32","134","121","52.55"
"383","Adrian Kempe","L.A","C, R","72","1350","34","22","13","9","56","61.54","216","15.74","20.7","392","298","217","68","21","27","40","20","20","0","0","12","34","21","103","61","27","16","35","31.37"
"477","Joel Eriksson Ek","MIN","C","73","1402.6333333333","23","33","18","15","56","62.92","232","9.91","33.18","374","317","241","166","12","43","36","18","18","0","0","16","14","39","108","111","51","642","666","49.08"
"14","David Krejci","BOS","C","66","1131.6333333333","16","39","24","15","55","63.22","105","15.24","12.52","188","145","123","54","3","10","16","8","8","0","0","11","35","14","39","68","37","335","360","48.20"
"43","Alex Killorn","T.B","L","74","1273.0666666667","22","33","17","16","55","63.95","129","17.05","17.47","220","171","157","87","18","14","37","17","16","1","0","14","52","37","51","110","29","1","0","100.00"
"76","Jordan Eberle","SEA","R","72","1205.7166666667","16","39","28","11","55","65.48","155","10.32","16.8","279","218","174","68","9","20","32","15","15","0","0","7","27","48","34","59","21","32","40","44.44"
